key,value
shopName,exp cafe'
tagline,พื้นที่สำหรับสะสมค่าประสบการ
aboutShort,คาเฟ่สไตล์มินิมอล มีพื้นที่สำหรับอ่านหนังสือ วาดรูป เล่นบอร์ดเกม
aboutLong,"ตำนานที่โด่งดังที่สุดระบุว่า กาแฟถูกค้นพบครั้งแรกที่ภูมิภาคคัฟฟา (Kaffa) ในประเทศเอธิโอเปีย โดยคนเลี้ยงแพะชื่อ คาลดี (Kaldi) สังเกตเห็นว่าแพะของเขาดูกระปรี้กระเปร่าและคึกคักเป็นพิเศษหลังจากกินผลไม้สีแดงจากต้นไม้ชนิดหนึ่ง
ด้วยความสงสัย คาลดีจึงลองกินผลไม้นั้นดูบ้างและพบว่ามันช่วยให้เขาตื่นตัว จากนั้นเขาได้นำผลไม้นี้ไปให้พระในวัดท้องถิ่น แต่พระกลับมองว่าเป็น ""ผลไม้ของปีศาจ"" จึงโยนมันเข้ากองไฟ ทว่าเมื่อผลกาแฟโดนความร้อน กลิ่นหอมหวนชวนหลงใหลก็โชยออกมา พระจึงรีบเขี่ยเมล็ดที่คั่วสุกแล้วมาละลายในน้ำร้อน จนกลายเป็นกาแฟแก้วแรกของโลก"
phone,0999999999
line,@expcafe
facebook,https://www.facebook.com/wanchai.wannawong.2024
address,999 หมู่ 9 บ้านพัทลุง อำเภอเมือง จังหวัดเชียงใหม่ 99999
mapUrl,https://maps.app.goo.gl/kdvmr2aoGGhK4iKQ6
photoFolder,https://drive.google.com/drive/folders/1zCAPbWD0rtAzK4OjKexu8K11QK0-9spu?usp=sharing
logoStatus,มีไฟล์ PNG/SVG พร้อมส่ง
seoKeywords,"คาเฟ่อุดรธานี, ร้านกาแฟนั่งทำงาน, บรันช์อุดร"
